from_date,item_descr,amount
2017-03-24,Menü 2,125
2017-03-24,Menü 3,59
2017-03-27,Menü 1,20
2017-03-27,Menü 2,123
2017-03-27,Menü 3,219
2017-03-28,Menü 1,159
2017-03-28,Menü 2,86
2017-03-28,Menü 3,146
2017-03-29,Menü 1,101
2017-03-29,Menü 2,98
2017-03-29,Menü 3,260
2017-03-30,Menü 1,51
2017-03-30,Menü 2,150
2017-03-30,Menü 3,105
2017-03-31,Menü 1,108
2017-03-31,Menü 2,79
2017-03-31,Menü 3,127
2017-04-03,Menü 1,102
2017-04-03,Menü 2,111
2017-04-03,Menü 3,129
2017-04-04,Menü 1,146
2017-04-04,Menü 2,91
